Job title,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Impact_Level
Communications Manager,0.98,365,2546,0.143362136684996,Communication & PR,Revolutionary
Data Collector,0.95,299,2148,0.1391992551210428,Data & IT,Revolutionary
Data Entry,0.95,325,2278,0.1426690079016681,Administrative & Clerical,Revolutionary
Mail Clerk,0.95,193,1366,0.1412884333821376,Administrative & Clerical,Revolutionary
Compliance Officer,0.92,194,1369,0.1417092768444119,Medical & Healthcare,Revolutionary
Chief Executive Officer (CEO),0.91,153,1135,0.1348017621145374,Leadership & Strategy,Revolutionary
Therapist,0.9,114,983,0.1159715157680569,Law Enforcement,Revolutionary
Chief Strategy Officer,0.9,184,1284,0.1433021806853582,Construction,Revolutionary
Admin,0.9,253,2014,0.1256206554121152,Sales & Marketing,Revolutionary
General Clerk,0.9,242,1903,0.1271676300578034,Hospitality,Revolutionary
Mail Handler,0.9,188,1350,0.1392592592592592,Administrative & Clerical,Revolutionary
Data Clerk,0.9,317,2258,0.1403897254207263,Data & IT,Revolutionary
Data Entry Clerk,0.9,328,2305,0.1422993492407809,Data & IT,Revolutionary
Data Entry Operator,0.9,329,2311,0.1423626135871916,Data & IT,Revolutionary
Data Entry Specialist,0.9,334,2358,0.1416454622561492,Data & IT,Revolutionary
Medical Transcriptionist,0.9,189,1265,0.1494071146245059,Medical & Healthcare,Revolutionary
Street Sweeper,0.9,3,82,0.0365853658536585,Hospitality,Revolutionary
Supply Clerk,0.9,115,901,0.1276359600443951,Supply Chain & Logistics,Revolutionary
Warehouse Worker,0.9,68,607,0.1120263591433278,Supply Chain & Logistics,Revolutionary
Web Search Evaluator,0.9,243,1599,0.1519699812382739,Data & IT,Revolutionary
Development Manager,0.89,217,1558,0.1392811296534018,Leadership & Strategy,Significant
Delivery Driver,0.88,20,309,0.0647249190938511,Supply Chain & Logistics,Significant
Chief Security Officer,0.88,142,1116,0.1272401433691756,Leadership & Strategy,Significant
File Clerk,0.88,228,1797,0.1268781302170283,Administrative & Clerical,Significant
Mail Processing,0.88,189,1336,0.1414670658682634,Administrative & Clerical,Significant
Director Of Operations,0.87,198,1397,0.1417322834645669,Leadership & Strategy,Significant
Direct Support Professional,0.86,117,1018,0.1149312377210216,Hospitality,Significant
Chief Communications Officer,0.85,284,2118,0.1340887629839471,Communication & PR,Significant
Administrative Clerk,0.85,270,2070,0.1304347826086956,Administrative & Clerical,Significant
Executive Assistant,0.85,276,2112,0.1306818181818181,Administrative & Clerical,Significant
General Office Clerk,0.85,245,1912,0.1281380753138075,Administrative & Clerical,Significant
Transcriber,0.85,205,1359,0.1508462104488594,Administrative & Clerical,Significant
Sql Programmer,0.85,179,1665,0.1075075075075075,Data & IT,Significant
Vba Developer,0.85,191,1672,0.1142344497607655,Data & IT,Significant
Medical Scribe,0.85,202,1696,0.1191037735849056,Medical & Healthcare,Significant
Special Agent,0.85,45,462,0.0974025974025974,Law Enforcement,Significant
Purchasing Clerk,0.85,180,1306,0.1378254211332312,Administrative & Clerical,Significant
Bricklayer,0.85,3,30,0.1,Construction,Significant
Telemarketer,0.85,179,1281,0.1397345823575331,Sales & Marketing,Significant
Bakery Manager,0.84,97,804,0.1206467661691542,Hospitality,Significant
Banquet Manager,0.83,99,802,0.1234413965087281,Hospitality,Significant
Clerk Typist,0.83,263,1986,0.1324269889224572,Administrative & Clerical,Significant
Assistant,0.82,240,1600,0.15,Administrative & Clerical,Significant
Business Relationship Manager,0.82,194,1467,0.1322426721199727,Sales & Marketing,Significant
Distribution Manager,0.8,198,1436,0.1378830083565459,Supply Chain & Logistics,Significant
Administrative Assistant,0.8,286,2155,0.1327146171693735,Administrative & Clerical,Significant
Administrative Secretary,0.8,268,2076,0.1290944123314065,Administrative & Clerical,Significant
Clerical Assistant,0.8,265,2004,0.1322355289421157,Administrative & Clerical,Significant
Executive Administrative Assistant,0.8,279,2124,0.1313559322033898,Administrative & Clerical,Significant
Order Filler,0.8,133,1021,0.1302644466209598,Administrative & Clerical,Significant
Records Clerk,0.8,222,1784,0.124439461883408,Administrative & Clerical,Significant
Scribe,0.8,202,1623,0.1244608749229821,Administrative & Clerical,Significant
Typist,0.8,208,1364,0.1524926686217008,Administrative & Clerical,Significant
Dishwasher,0.8,3,31,0.0967741935483871,Hospitality,Significant
Digital Project Manager,0.8,231,1922,0.1201873048907388,Data & IT,Significant
Technical Project Manager,0.8,205,1521,0.1347797501643655,Data & IT,Significant
Grocer,0.8,50,377,0.1326259946949602,Hospitality,Significant
Finance Officer,0.8,167,1516,0.1101583113456464,Administrative & Clerical,Significant
Word Processor,0.8,264,1707,0.1546572934973638,Administrative & Clerical,Significant
Market Research Interviewer,0.8,210,1825,0.1150684931506849,Sales & Marketing,Significant
Pl Sql Developer,0.8,183,1686,0.1085409252669039,Data & IT,Significant
Quantitative Developer,0.8,182,1667,0.1091781643671265,Data & IT,Significant
Statistical Programmer,0.8,187,1669,0.1120431396045536,Data & IT,Significant
Tableau Developer,0.8,188,1668,0.1127098321342925,Data & IT,Significant
Data Modeler,0.8,216,1767,0.1222410865874363,Data & IT,Significant
Database Analyst,0.8,218,1773,0.122955442752397,Data & IT,Significant
Database Developer,0.8,205,1726,0.1187717265353418,Data & IT,Significant
Etl Developer,0.8,184,1670,0.1101796407185628,Data & IT,Significant
Hadoop Developer,0.8,181,1643,0.1101643335362142,Data & IT,Significant
Sql Analyst,0.8,212,1761,0.1203861442362294,Data & IT,Significant
Procurement Assistant,0.8,179,1316,0.1360182370820668,Supply Chain & Logistics,Significant
Receiving Associate,0.8,92,733,0.1255115961800818,Supply Chain & Logistics,Significant
Warehouse Associate,0.8,78,664,0.1174698795180722,Supply Chain & Logistics,Significant
Press Operator,0.8,84,1077,0.0779944289693593,Sales & Marketing,Significant
Pressman,0.8,83,1068,0.0777153558052434,Sales & Marketing,Significant
Printing Press Operator,0.8,93,1065,0.0873239436619718,Sales & Marketing,Significant
Automation Test Engineer,0.8,159,1547,0.1027795733678086,Data & IT,Significant
Automation Tester,0.8,158,1541,0.1025308241401687,Data & IT,Significant
QA Automation Engineer,0.8,155,1525,0.101639344262295,Data & IT,Significant
Tax Preparer,0.8,153,1263,0.1211401425178147,Administrative & Clerical,Significant
Associate,0.79,175,1298,0.1348228043143297,Administrative & Clerical,Significant
Chief Learning Officer,0.79,162,1250,0.1296,Leadership & Strategy,Significant
Web Project Manager,0.78,217,1845,0.1176151761517615,Data & IT,Significant
Medical Coding Specialist,0.78,171,1250,0.1368,Medical & Healthcare,Significant
Front Desk,0.77,215,1779,0.1208544125913434,Hospitality,Significant
