Job title,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Communications Manager,98%,365,2546,0.143362136684996,Communication & PR
Data Collector,95%,299,2148,0.1391992551210428,Data & IT
Data Entry,95%,325,2278,0.1426690079016681,Administrative & Clerical
Mail Clerk,95%,193,1366,0.1412884333821376,Administrative & Clerical
Compliance Officer,92%,194,1369,0.1417092768444119,Medical & Healthcare
Chief Executive Officer (CEO),91%,153,1135,0.1348017621145374,Leadership & Strategy
Therapist,90%,114,983,0.1159715157680569,Law Enforcement
Chief Strategy Officer,90%,184,1284,0.1433021806853582,Construction
Admin,90%,253,2014,0.1256206554121152,Sales & Marketing
General Clerk,90%,242,1903,0.1271676300578034,Hospitality
Mail Handler,90%,188,1350,0.1392592592592592,Administrative & Clerical
Data Clerk,90%,317,2258,0.1403897254207263,Data & IT
Data Entry Clerk,90%,328,2305,0.1422993492407809,Data & IT
Data Entry Operator,90%,329,2311,0.1423626135871916,Data & IT
Data Entry Specialist,90%,334,2358,0.1416454622561492,Data & IT
Medical Transcriptionist,90%,189,1265,0.1494071146245059,Medical & Healthcare
Street Sweeper,90%,3,82,0.0365853658536585,Hospitality
Supply Clerk,90%,115,901,0.1276359600443951,Supply Chain & Logistics
Warehouse Worker,90%,68,607,0.1120263591433278,Supply Chain & Logistics
Web Search Evaluator,90%,243,1599,0.1519699812382739,Data & IT
Development Manager,89%,217,1558,0.1392811296534018,Leadership & Strategy
Delivery Driver,88%,20,309,0.0647249190938511,Supply Chain & Logistics
Chief Security Officer,88%,142,1116,0.1272401433691756,Leadership & Strategy
File Clerk,88%,228,1797,0.1268781302170283,Administrative & Clerical
Mail Processing,88%,189,1336,0.1414670658682634,Administrative & Clerical
Director Of Operations,87%,198,1397,0.1417322834645669,Leadership & Strategy
Direct Support Professional,86%,117,1018,0.1149312377210216,Hospitality
Chief Communications Officer,85%,284,2118,0.1340887629839471,Communication & PR
Administrative Clerk,85%,270,2070,0.1304347826086956,Administrative & Clerical
Executive Assistant,85%,276,2112,0.1306818181818181,Administrative & Clerical
General Office Clerk,85%,245,1912,0.1281380753138075,Administrative & Clerical
Transcriber,85%,205,1359,0.1508462104488594,Administrative & Clerical
Sql Programmer,85%,179,1665,0.1075075075075075,Data & IT
Vba Developer,85%,191,1672,0.1142344497607655,Data & IT
Medical Scribe,85%,202,1696,0.1191037735849056,Medical & Healthcare
Special Agent,85%,45,462,0.0974025974025974,Law Enforcement
Purchasing Clerk,85%,180,1306,0.1378254211332312,Administrative & Clerical
Bricklayer,85%,3,30,0.1,Construction
Telemarketer,85%,179,1281,0.1397345823575331,Sales & Marketing
Bakery Manager,84%,97,804,0.1206467661691542,Hospitality
Banquet Manager,83%,99,802,0.1234413965087281,Hospitality
Clerk Typist,83%,263,1986,0.1324269889224572,Administrative & Clerical
Assistant,82%,240,1600,0.15,Administrative & Clerical
Business Relationship Manager,82%,194,1467,0.1322426721199727,Sales & Marketing
Distribution Manager,80%,198,1436,0.1378830083565459,Supply Chain & Logistics
Administrative Assistant,80%,286,2155,0.1327146171693735,Administrative & Clerical
Administrative Secretary,80%,268,2076,0.1290944123314065,Administrative & Clerical
Clerical Assistant,80%,265,2004,0.1322355289421157,Administrative & Clerical
Executive Administrative Assistant,80%,279,2124,0.1313559322033898,Administrative & Clerical
Order Filler,80%,133,1021,0.1302644466209598,Administrative & Clerical
Records Clerk,80%,222,1784,0.124439461883408,Administrative & Clerical
Scribe,80%,202,1623,0.1244608749229821,Administrative & Clerical
Typist,80%,208,1364,0.1524926686217008,Administrative & Clerical
Dishwasher,80%,3,31,0.0967741935483871,Hospitality
Digital Project Manager,80%,231,1922,0.1201873048907388,Data & IT
Technical Project Manager,80%,205,1521,0.1347797501643655,Data & IT
Grocer,80%,50,377,0.1326259946949602,Hospitality
Finance Officer,80%,167,1516,0.1101583113456464,Administrative & Clerical
Word Processor,80%,264,1707,0.1546572934973638,Administrative & Clerical
Market Research Interviewer,80%,210,1825,0.1150684931506849,Sales & Marketing
Pl Sql Developer,80%,183,1686,0.1085409252669039,Data & IT
Quantitative Developer,80%,182,1667,0.1091781643671265,Data & IT
Statistical Programmer,80%,187,1669,0.1120431396045536,Data & IT
Tableau Developer,80%,188,1668,0.1127098321342925,Data & IT
Data Modeler,80%,216,1767,0.1222410865874363,Data & IT
Database Analyst,80%,218,1773,0.122955442752397,Data & IT
Database Developer,80%,205,1726,0.1187717265353418,Data & IT
Etl Developer,80%,184,1670,0.1101796407185628,Data & IT
Hadoop Developer,80%,181,1643,0.1101643335362142,Data & IT
Sql Analyst,80%,212,1761,0.1203861442362294,Data & IT
Procurement Assistant,80%,179,1316,0.1360182370820668,Supply Chain & Logistics
Receiving Associate,80%,92,733,0.1255115961800818,Supply Chain & Logistics
